     St.no       Date         RR         SA         SD SLAG     
     50540 29.09.1983        0.4          0          0    3                     
     50540 30.09.1983          .          0          0    -                   
     50540 01.10.1983          .          0          0    -                   
     50540 02.10.1983        1.3          0          0    3                     
     50540 03.10.1983        3.2          0          0    3                     
     50540 04.10.1983       20.9          0          0    3                      
     50540 05.10.1983       41.5          0          0    3                      
     50540 06.10.1983       15.9          0          0    3                      
     50540 07.10.1983        1.2          0          0    3                     
     50540 08.10.1983       11.9          0          0    3                      
     50540 09.10.1983        1.2          0          0    3                     
     50540 10.10.1983        3.2          0          0    3                     
     50540 11.10.1983       20.3          0          0    3                      
     50540 12.10.1983       37.8          0          0    3                      
     50540 13.10.1983        9.3          0          0    3                     
     50540 14.10.1983        3.5          0          0    3                     
     50540 15.10.1983       12.2          0          0    3                      
     50540 16.10.1983       24.9          0          0    3                      
     50540 17.10.1983       17.8          0          0    3                      
     50540 18.10.1983       20.3          0          0    3                      
     50540 19.10.1983       29.8          0          0    3                      
     50540 20.10.1983       11.9          0          0    3                      
     50540 21.10.1983       10.5          0          0    3                      
     50540 22.10.1983        6.9          0          0    3                     
     50540 23.10.1983        3.5          0          0    3                     
     50540 24.10.1983       26.5          0          0   30                       
     50540 25.10.1983       18.6          0          0   30                       
     50540 26.10.1983       92.3          0          0    3                      
     50540 27.10.1983       47.5          0          0    3                      
     50540 28.10.1983        7.2          0          0    3                     
     50540 29.10.1983        0.1          0          0    3                     
     50540 30.10.1983       53.2          0          0    3                      
     50540 31.10.1983       31.9          0          0    3                      
     50540 01.11.1983       29.8          0          0    3                      
     50540 02.11.1983       18.6          0          0    3                      
     50540 03.11.1983       10.8          0          0    3                      
     50540 04.11.1983       18.0          0          0    3                      
     50540 05.11.1983        2.2          0          0    3                     
     50540 06.11.1983       26.6          0          0    3                      
     50540 07.11.1983        1.4          0          0    3                     
     50540 08.11.1983        0.0          0          0    3                     
     50540 09.11.1983       14.3          0          0    3                      
     50540 10.11.1983          .          0          0    -                   
     50540 11.11.1983          .          0          0    -                   
     50540 12.11.1983        0.0          0          0    3                     
     50540 13.11.1983          .          0          0    -                   
     50540 14.11.1983        0.0          0          0    3                     
     50540 15.11.1983       17.3          0          0    3                      
     50540 16.11.1983        0.0          0          0    3                     
     50540 17.11.1983        0.0          0          0    3                     
     50540 18.11.1983        2.1          0          0    3                     
     50540 19.11.1983        2.4          0          0    3                     
     50540 20.11.1983       24.5          0          0    3                      
     50540 21.11.1983        6.8          3          4   30                      
     50540 22.11.1983       10.7         16          4    2                       
     50540 23.11.1983        9.5         12          4    2                      
     50540 24.11.1983       22.0          8          4   30                       
     50540 25.11.1983        8.8          5          3    3                     
     50540 26.11.1983       37.0          0          0    3                      
     50540 27.11.1983        1.5          0          0    3                     
     50540 28.11.1983        0.8          0          0    3                     
     50540 29.11.1983        8.6          8          4   30                      
     50540 30.11.1983        8.3          8          4   30                      
     50540 01.12.1983          .          8          4    -                   
     50540 02.12.1983        0.9          2          3   30                      
     50540 03.12.1983        9.6          0          0    3                     
     50540 04.12.1983       24.3          0          0    3                      
     50540 05.12.1983       35.5          0          0    3                      
     50540 06.12.1983       11.9          0          1   30                       
     50540 07.12.1983        1.5          0          1   30                      
     50540 08.12.1983       21.6          0          0   30                       
     50540 09.12.1983       17.5          0          0    3                      
     50540 10.12.1983        0.0          0          0    2                     
     50540 11.12.1983        0.0          0          0    2                     
     50540 12.12.1983        0.0          0          0    2                     
     50540 13.12.1983       12.2          0          0   30                       
     50540 14.12.1983       16.4          0          0    3                      
     50540 15.12.1983       32.5          0          0    3                      
     50540 16.12.1983        5.4          0          0    3                     
     50540 17.12.1983        1.3          0          0    3                     
     50540 18.12.1983          .          0          0    -                   
     50540 19.12.1983          .          0          0    -                   
     50540 20.12.1983          .          0          0    -                   
     50540 21.12.1983        0.1          0          0    3                     
     50540 22.12.1983        1.2          0          0    3                     
     50540 23.12.1983        6.3          0          0   30                      
     50540 24.12.1983        7.2          2          4   30                      
     50540 25.12.1983        0.5          2          4   30                      
     50540 26.12.1983       10.3          0          0   30                       
     50540 27.12.1983       10.1          0          0    3                      
     50540 28.12.1983       48.4          0          0    3                      
     50540 29.12.1983        4.7          0          0    3                     
     50540 30.12.1983       25.8          0          0    3                      
     50540 31.12.1983        9.4          0          0   30                      
     50540 01.01.1984       40.9          0          0    3                      
     50540 02.01.1984       10.1          2          4   30                       
     50540 03.01.1984       14.2          0          3   30                       
     50540 04.01.1984        1.6          1          3   30                      
     50540 05.01.1984        3.3          7          4   30                      
     50540 06.01.1984        9.2          1          3   30                      
     50540 07.01.1984       18.7          1          3   30                       
     50540 08.01.1984        1.1          0          3    3                     
     50540 09.01.1984          .          0          3    -                   
     50540 10.01.1984        0.2          1          4    2                     
     50540 11.01.1984       15.9          0          0   30                       
