     St.no       Date         RR         SA         SD SLAG     
     50540 03.08.1999        0.0          0          0    3                     
     50540 04.08.1999          .          0          0    -                   
     50540 05.08.1999          .          0          0    -                   
     50540 06.08.1999          .          0          0    -                   
     50540 07.08.1999          .          0          0    -                   
     50540 08.08.1999          .          0          0    -                   
     50540 09.08.1999          .          0          0    -                   
     50540 10.08.1999          .          0          0    -                   
     50540 11.08.1999          .          0          0    -                   
     50540 12.08.1999          .          0          0    -                   
     50540 13.08.1999          .          0          0    -                   
     50540 14.08.1999        0.9          0          0    3                     
     50540 15.08.1999        0.6          0          0    3                     
     50540 16.08.1999        0.7          0          0    3                     
     50540 17.08.1999        2.0          0          0    3                     
     50540 18.08.1999       15.3          0          0    3                      
     50540 19.08.1999        0.1          0          0    3                     
     50540 20.08.1999          .          0          0    -                   
     50540 21.08.1999          .          0          0    -                   
     50540 22.08.1999          .          0          0    -                   
     50540 23.08.1999        0.1          0          0    3                     
     50540 24.08.1999        3.5          0          0    3                     
     50540 25.08.1999          .          0          0    -                   
     50540 26.08.1999        0.0          0          0    3                     
     50540 27.08.1999       28.5          0          0    3                      
     50540 28.08.1999       35.5          0          0    3                      
     50540 29.08.1999        3.4          0          0    3                     
     50540 30.08.1999        8.3          0          0    3                     
     50540 31.08.1999        3.2          0          0    3                     
     50540 01.09.1999        0.0          0          0    3                     
     50540 02.09.1999       31.6          0          0    3                      
     50540 03.09.1999        4.9          0          0    3                     
     50540 04.09.1999        8.0          0          0    3                     
     50540 05.09.1999          .          0          0    -                   
     50540 06.09.1999          .          0          0    -                   
     50540 07.09.1999          .          0          0    -                   
     50540 08.09.1999       34.1          0          0    3                      
     50540 09.09.1999        3.0          0          0    3                     
     50540 10.09.1999       15.2          0          0    3                      
     50540 11.09.1999        0.0          0          0    3                     
     50540 12.09.1999        0.0          0          0    3                     
     50540 13.09.1999        2.3          0          0    3                     
     50540 14.09.1999       11.7          0          0    3                      
     50540 15.09.1999       24.7          0          0    3                      
     50540 16.09.1999        1.1          0          0    3                     
     50540 17.09.1999        1.5          0          0    3                     
     50540 18.09.1999        1.5          0          0    3                     
     50540 19.09.1999        0.0          0          0    3                     
     50540 20.09.1999        0.0          0          0    3                     
     50540 21.09.1999          .          0          0    -                   
     50540 22.09.1999        4.1          0          0    3                     
     50540 23.09.1999        6.3          0          0    3                     
     50540 24.09.1999        2.1          0          0    3                     
     50540 25.09.1999        7.7          0          0    3                     
     50540 26.09.1999       38.8          0          0    3                      
     50540 27.09.1999        0.7          0          0    3                     
     50540 28.09.1999        5.7          0          0    3                     
     50540 29.09.1999       26.9          0          0    3                      
     50540 30.09.1999        1.6          0          0    3                     
     50540 01.10.1999        4.4          0          0    3                     
     50540 02.10.1999       15.0          0          0    3                      
     50540 03.10.1999       11.0          0          0    3                      
     50540 04.10.1999       20.2          0          0    3                      
     50540 05.10.1999          .          0          0    -                   
     50540 06.10.1999          .          0          0    -                   
     50540 07.10.1999        0.1          0          0    3                     
     50540 08.10.1999       20.0          0          0    3                      
     50540 09.10.1999       11.6          0          0    3                      
     50540 10.10.1999        3.8          0          0    3                     
     50540 11.10.1999       32.4          0          0    3                      
     50540 12.10.1999       12.4          0          0    3                      
     50540 13.10.1999       11.4          0          0    3                      
     50540 14.10.1999        7.9          0          0    3                     
     50540 15.10.1999          .          0          0    -                   
     50540 16.10.1999          .          0          0    -                   
     50540 17.10.1999        2.5          0          0    3                     
     50540 18.10.1999        1.2          0          0    3                     
     50540 19.10.1999          .          0          0    -                   
     50540 20.10.1999          .          0          0    -                   
     50540 21.10.1999          .          0          0    -                   
     50540 22.10.1999          .          0          0    -                   
     50540 23.10.1999        3.9          0          0    3                     
     50540 24.10.1999        4.6          0          0    3                     
     50540 25.10.1999        2.0          0          0    3                     
     50540 26.10.1999        1.4          0          0    3                     
     50540 27.10.1999        3.8          0          0    3                     
     50540 28.10.1999       29.6          0          0    3                      
     50540 29.10.1999        9.3          0          0    3                     
     50540 30.10.1999        1.2          0          0    3                     
     50540 31.10.1999        9.0          0          0    3                     
     50540 01.11.1999       10.8          0          0    3                      
     50540 02.11.1999       32.7          0          0    3                      
     50540 03.11.1999       17.0          0          0    3                      
     50540 04.11.1999       14.7          0          0    3                      
     50540 05.11.1999        5.5          0          0    3                     
     50540 06.11.1999        0.8          0          0    3                     
     50540 07.11.1999        0.5          0          0    3                     
     50540 08.11.1999       17.0          0          0    3                      
     50540 09.11.1999       12.6          0          0    3                      
     50540 10.11.1999        1.3          0          0    3                     
     50540 11.11.1999        1.1          0          0    3                     
     50540 12.11.1999        0.2          0          0    3                     
     50540 13.11.1999        4.4          0          0    3                     
     50540 14.11.1999        5.6          0          0    3                     
     50540 15.11.1999          .          0          0    -                   
     50540 16.11.1999       13.1          0          0    3                      
     50540 17.11.1999       18.3          0          0   30                       
     50540 18.11.1999        0.4          0          0   30                      
     50540 19.11.1999          .          0          0    -                   
     50540 20.11.1999          .          0          0    -                   
     50540 21.11.1999        0.3          0          0    3                     
     50540 22.11.1999        4.7          0          0    3                     
     50540 23.11.1999       16.9          0          0    3                      
     50540 24.11.1999       15.1          0          0    3                      
     50540 25.11.1999       29.3          0          0    3                      
     50540 26.11.1999       21.1          0          0    3                      
     50540 27.11.1999       13.9          0          0    3                      
     50540 28.11.1999       16.8          0          0   30                       
     50540 29.11.1999       58.9          0          0    3                      
     50540 30.11.1999        0.5          0          0   30                      
     50540 01.12.1999       35.6          0          0   30                       
     50540 02.12.1999        9.4          3          4   30                      
     50540 03.12.1999        0.4          2          4   30                      
     50540 04.12.1999        1.7          4          4   30                      
     50540 05.12.1999          .          4          4    -                   
     50540 06.12.1999       29.5          4          4   30                       
     50540 07.12.1999       40.1          0          0    3                      
     50540 08.12.1999       10.8          0          0    3                      
     50540 09.12.1999       15.8          0          0    3                      
     50540 10.12.1999        3.6          0          0    3                     
     50540 11.12.1999        0.7          0          0    3                     
     50540 12.12.1999          .          0          0    -                   
     50540 13.12.1999        1.3          1          4    2                     
     50540 14.12.1999        0.6          2          4    2                     
     50540 15.12.1999          .          2          4    -                   
     50540 16.12.1999        2.3          6          4    2                     
     50540 17.12.1999       40.7          2          4   30                       
     50540 18.12.1999       17.3          1          1   30                       
     50540 19.12.1999       24.7         10          4   30                        
     50540 20.12.1999       11.3         14          4   30                        
     50540 21.12.1999        0.0         13          4    2                      
     50540 22.12.1999        0.2          7          4    3                     
     50540 23.12.1999        8.9          0          1    3                     
     50540 24.12.1999       15.8          0          0    3                      
     50540 25.12.1999       28.1          0          0    3                      
     50540 26.12.1999       37.1          0          0    3                      
     50540 27.12.1999        8.2          0          3   30                      
     50540 28.12.1999        7.9          0          0   30                      
     50540 29.12.1999        0.2          0          0   30                      
     50540 30.12.1999        0.0          0          0    3                     
     50540 31.12.1999        3.0          0          0   30                      
     50540 01.01.2000       21.0          0          0    3                      
     50540 02.01.2000       39.2          0          0    3                      
     50540 03.01.2000        2.2          0          0    3                     
     50540 04.01.2000        7.2          0          0    3                     
     50540 05.01.2000       13.6          0          0    3                      
     50540 06.01.2000       26.7          0          0    3                      
     50540 07.01.2000        9.7          0          0   30                      
     50540 08.01.2000       60.8          0          0    3                      
     50540 09.01.2000       15.7          0          0   30                       
     50540 10.01.2000        8.3          0          0   30                      
     50540 11.01.2000       26.3          0          0    3                      
     50540 12.01.2000       18.5          0          0    3                      
     50540 13.01.2000       13.5          0          0    3                      
     50540 14.01.2000          .          0          0    -                   
     50540 15.01.2000          .          0          0    -                   
     50540 16.01.2000        7.1          0          0   30                      
     50540 17.01.2000       17.4          0          0    3                      
     50540 18.01.2000        8.7          0          0    3                     
     50540 19.01.2000        0.0          0          0   30                      
     50540 20.01.2000        7.7          0          0   30                      
     50540 21.01.2000        2.1          0          0   30                      
     50540 22.01.2000        0.9          0          3   30                      
     50540 23.01.2000          .          0          0    -                   
     50540 24.01.2000        0.5          1          4   30                      
     50540 25.01.2000        0.2          0          3   30                      
     50540 26.01.2000        1.3          0          0    3                     
     50540 27.01.2000        4.9          0          0    3                     
     50540 28.01.2000       12.6          0          3   30                       
     50540 29.01.2000       20.5          0          0   30                       
     50540 30.01.2000       29.2          0          4   30                       
     50540 31.01.2000        2.6          6          4    2                     
     50540 01.02.2000        0.3          5          4    2                     
     50540 02.02.2000        7.7          0          1   30                      
     50540 03.02.2000        6.5          0          1   30                      
     50540 04.02.2000       23.5          0          0   30                       
     50540 05.02.2000       60.2          0          0    3                      
     50540 06.02.2000       44.7          0          0    3                      
     50540 07.02.2000       10.7          0          0    3                      
     50540 08.02.2000        7.8          0          0   30                      
     50540 09.02.2000        0.0          0          0    3                     
     50540 10.02.2000        4.5          0          0    3                     
     50540 11.02.2000       31.1          0          0   30                       
     50540 12.02.2000        7.3          0          0    3                     
     50540 13.02.2000       31.5          1          3   30                       
     50540 14.02.2000        8.3          7          4    2                     
     50540 15.02.2000        5.6          1          3   30                      
     50540 16.02.2000        6.4          0          3   30                      
     50540 17.02.2000          .          0          3    -                   
     50540 18.02.2000          .          0          1    -                   
     50540 19.02.2000          .          0          1    -                   
     50540 20.02.2000          .          0          1    -                   
     50540 21.02.2000          .          0          1    -                   
     50540 22.02.2000        4.1          0          1   30                      
     50540 23.02.2000        0.4          0          0    3                     
     50540 24.02.2000        3.9          0          0   30                      
     50540 25.02.2000        5.5          0          1   30                      
     50540 26.02.2000       10.5          0          0   30                       
     50540 27.02.2000        3.8          0          0    3                     
     50540 28.02.2000       41.3          0          0    3                      
     50540 29.02.2000        4.6          0          0    3                     
     50540 01.03.2000       11.3          0          0    3                      
     50540 02.03.2000        1.1          1          4   30                      
     50540 03.03.2000       21.2          3          4   30                       
     50540 04.03.2000        1.6          1          4   30                      
     50540 05.03.2000        5.7          9          4    2                     
     50540 06.03.2000       31.5          0          1   30                       
     50540 07.03.2000       15.0          0          0    3                      
     50540 08.03.2000        1.4          0          3   30                      
     50540 09.03.2000       23.6          0          0   30                       
     50540 10.03.2000          .          0          0    -                   
     50540 11.03.2000        4.3          0          3   30                      
     50540 12.03.2000        3.4          0          0    3                     
     50540 13.03.2000       17.6          0          0    3                      
     50540 14.03.2000       18.6          0          0   30                       
     50540 15.03.2000       10.4          7          4   30                       
     50540 16.03.2000        4.7          5          4   30                      
     50540 17.03.2000        9.4          3          3   30                      
     50540 18.03.2000        9.2          0          0    3                     
     50540 19.03.2000        0.0          0          0    3                     
     50540 20.03.2000       15.0          0          0    3                      
     50540 21.03.2000       12.4          0          0    3                      
     50540 22.03.2000        9.7          0          0    3                     
     50540 23.03.2000        3.6          0          0   30                      
     50540 24.03.2000        2.4          0          0   30                      
     50540 25.03.2000          .          0          0    -                   
     50540 26.03.2000        4.5          0          0   30                      
     50540 27.03.2000        2.0          0          0    3                     
     50540 28.03.2000          .          0          0    -                   
     50540 29.03.2000        0.8          0          0    3                     
     50540 30.03.2000          .          0          0    -                   
     50540 31.03.2000        0.1          0          0    3                     
     50540 01.04.2000        0.5          0          0    3                     
     50540 02.04.2000        0.0          0          0    3                     
     50540 03.04.2000          .          0          0    -                   
     50540 04.04.2000          .          0          0    -                   
     50540 05.04.2000        1.3          2          4    2                     
     50540 06.04.2000        6.9          0          0   30                      
     50540 07.04.2000       26.1          0          0    3                      
     50540 08.04.2000        4.0          0          0    3                     
     50540 09.04.2000        0.3          0          0    3                     
     50540 10.04.2000          .          0          0    -                   
     50540 11.04.2000        8.9          0          0    3                     
     50540 12.04.2000        0.0          0          0    3                     
     50540 13.04.2000          .          0          0    -                   
     50540 14.04.2000          .          0          0    -                   
     50540 15.04.2000        6.5          0          0    3                     
     50540 16.04.2000        0.2          0          0    3                     
     50540 17.04.2000          .          0          0    -                   
     50540 18.04.2000        4.7          0          0    3                     
     50540 19.04.2000        5.0          0          0    3                     
     50540 20.04.2000        0.2          0          0    3                     
     50540 21.04.2000        6.3          0          0    3                     
     50540 22.04.2000       29.1          0          0    3                      
     50540 23.04.2000        3.2          0          0    3                     
     50540 24.04.2000        4.1          0          0    3                     
     50540 25.04.2000          .          0          0    -                   
     50540 26.04.2000        0.1          0          0    3                     
     50540 27.04.2000        6.1          0          0    3                     
     50540 28.04.2000        2.0          0          0    3                     
     50540 29.04.2000        0.0          0          0    3                     
     50540 30.04.2000          .          0          0    -                   
     50540 01.05.2000          .          0          0    -                   
     50540 02.05.2000        8.3          0          0    3                     
     50540 03.05.2000        8.0          0          0    3                     
     50540 04.05.2000          .          0          0    -                   
     50540 05.05.2000          .          0          0    -                   
     50540 06.05.2000          .          0          0    -                   
     50540 07.05.2000          .          0          0    -                   
     50540 08.05.2000          .          0          0    -                   
     50540 09.05.2000          .          0          0    -                   
     50540 10.05.2000        0.1          0          0    3                     
     50540 11.05.2000        0.1          0          0    3                     
     50540 12.05.2000          .          0          0    -                   
     50540 13.05.2000          .          0          0    -                   
     50540 14.05.2000          .          0          0    -                   
     50540 15.05.2000          .          0          0    -                   
     50540 16.05.2000          .          0          0    -                   
     50540 17.05.2000       22.8          0          0    3                      
     50540 18.05.2000       16.3          0          0    3                      
     50540 19.05.2000        8.5          0          0    3                     
     50540 20.05.2000        9.7          0          0    3                     
     50540 21.05.2000        1.6          0          0    3                     
     50540 22.05.2000          .          0          0    -                   
     50540 23.05.2000        6.1          0          0    3                     
     50540 24.05.2000       10.5          0          0    3                      
     50540 25.05.2000        4.3          0          0    3                     
     50540 26.05.2000        0.0          0          0    3                     
     50540 27.05.2000        8.5          0          0    3                     
     50540 28.05.2000        6.0          0          0    3                     
     50540 29.05.2000       13.1          0          0    3                      
     50540 30.05.2000        0.4          0          0    3                     
     50540 31.05.2000        6.8          0          0    3                     
     50540 01.06.2000       10.8          0          0    3                      
     50540 02.06.2000       17.1          0          0    3                      
     50540 03.06.2000        6.5          0          0    3                     
     50540 04.06.2000        1.3          0          0    3                     
     50540 05.06.2000          .          0          0    -                   
     50540 06.06.2000          .          0          0    -                   
     50540 07.06.2000        0.1          0          0    3                     
     50540 08.06.2000        4.7          0          0    3                     
     50540 09.06.2000        1.5          0          0    3                     
     50540 10.06.2000        0.5          0          0    3                     
     50540 11.06.2000        2.6          0          0    3                     
     50540 12.06.2000       15.5          0          0    3                      
     50540 13.06.2000       37.0          0          0    3                      
     50540 14.06.2000        1.1          0          0    3                     
     50540 15.06.2000       12.2          0          0    3                      
     50540 16.06.2000        5.9          0          0    3                     
     50540 17.06.2000        4.4          0          0    3                     
     50540 18.06.2000        2.0          0          0    3                     
     50540 19.06.2000        2.7          0          0    3                     
     50540 20.06.2000        7.3          0          0    3                     
     50540 21.06.2000        1.3          0          0    3                     
     50540 22.06.2000        7.5          0          0    3                     
     50540 23.06.2000       16.6          0          0    3                      
     50540 24.06.2000        3.0          0          0    3                     
     50540 25.06.2000        0.0          0          0    3                     
     50540 26.06.2000          .          0          0    -                   
     50540 27.06.2000          .          0          0    -                   
     50540 28.06.2000        8.7          0          0    3                     
     50540 29.06.2000        6.5          0          0    3                     
     50540 30.06.2000          .          0          0    -                   
     50540 01.07.2000        1.7          0          0    3                     
     50540 02.07.2000       23.4          0          0    3                      
     50540 03.07.2000        1.3          0          0    3                     
     50540 04.07.2000          .          0          0    -                   
     50540 05.07.2000          .          0          0    -                   
     50540 06.07.2000          .          0          0    -                   
     50540 07.07.2000        0.0          0          0    3                     
     50540 08.07.2000          .          0          0    -                   
     50540 09.07.2000        0.0          0          0    3                     
     50540 10.07.2000          .          0          0    -                   
     50540 11.07.2000        0.6          0          0    3                     
     50540 12.07.2000        0.9          0          0    3                     
     50540 13.07.2000        7.9          0          0    3                     
     50540 14.07.2000          .          0          0    -                   
     50540 15.07.2000        0.0          0          0    3                     
     50540 16.07.2000          .          0          0    -                   
     50540 17.07.2000          .          0          0    -                   
     50540 18.07.2000          .          0          0    -                   
     50540 19.07.2000        0.2          0          0    3                     
     50540 20.07.2000        0.1          0          0    3                     
     50540 21.07.2000          .          0          0    -                   
     50540 22.07.2000          .          0          0    -                   
     50540 23.07.2000          .          0          0    -                   
     50540 24.07.2000          .          0          0    -                   
     50540 25.07.2000        0.2          0          0    3                     
     50540 26.07.2000          .          0          0    -                   
     50540 27.07.2000        3.3          0          0    3                     
     50540 28.07.2000        0.6          0          0    3                     
     50540 29.07.2000        0.4          0          0    3                     
     50540 30.07.2000        0.1          0          0    3                     
     50540 31.07.2000        0.2          0          0    3                     
     50540 01.08.2000        1.3          0          0    3                     
     50540 02.08.2000          .          0          0    -                   
     50540 03.08.2000       22.2          0          0    3                      
     50540 04.08.2000          .          0          0    -                   
     50540 05.08.2000        8.8          0          0    3                     
     50540 06.08.2000       30.6          0          0    3                      
     50540 07.08.2000       12.0          0          0    3                      
     50540 08.08.2000       11.8          0          0    3                      
     50540 09.08.2000        0.0          0          0    3                     
     50540 10.08.2000        0.1          0          0    3                     
     50540 11.08.2000       18.3          0          0    3                      
     50540 12.08.2000        1.2          0          0    3                     
     50540 13.08.2000          .          0          0    -                   
     50540 14.08.2000        6.6          0          0    3                     
     50540 15.08.2000       31.7          0          0    3                      
     50540 16.08.2000        6.6          0          0    3                     
     50540 17.08.2000        7.2          0          0    3                     
     50540 18.08.2000       23.4          0          0    3                      
     50540 19.08.2000       14.2          0          0    3                      
     50540 20.08.2000        1.0          0          0    3                     
     50540 21.08.2000       16.3          0          0    3                      
     50540 22.08.2000        3.2          0          0    3                     
     50540 23.08.2000          .          0          0    -                   
     50540 24.08.2000       37.9          0          0    3                      
     50540 25.08.2000       14.8          0          0    3                      
     50540 26.08.2000          .          0          0    -                   
     50540 27.08.2000          .          0          0    -                   
     50540 28.08.2000        7.1          0          0    3                     
     50540 29.08.2000        6.0          0          0    3                     
     50540 30.08.2000       15.3          0          0    3                      
     50540 31.08.2000        0.0          0          0    3                     
     50540 01.09.2000        0.1          0          0    3                     
     50540 02.09.2000          .          0          0    -                   
     50540 03.09.2000          .          0          0    -                   
     50540 04.09.2000          .          0          0    -                   
     50540 05.09.2000          .          0          0    -                   
     50540 06.09.2000        0.6          0          0    3                     
     50540 07.09.2000       12.0          0          0    3                      
     50540 08.09.2000       14.2          0          0    3                      
     50540 09.09.2000        8.5          0          0    3                     
     50540 10.09.2000       24.1          0          0    3                      
     50540 11.09.2000        2.8          0          0    3                     
     50540 12.09.2000          .          0          0    -                   
     50540 13.09.2000          .          0          0    -                   
     50540 14.09.2000          .          0          0    -                   
     50540 15.09.2000        0.9          0          0    3                     
     50540 16.09.2000        3.0          0          0    3                     
     50540 17.09.2000        7.3          0          0    3                     
     50540 18.09.2000       12.0          0          0    3                      
     50540 19.09.2000        4.3          0          0    3                     
     50540 20.09.2000        0.1          0          0    3                     
     50540 21.09.2000          .          0          0    -                   
     50540 22.09.2000          .          0          0    -                   
     50540 23.09.2000        1.3          0          0    3                     
     50540 24.09.2000          .          0          0    -                   
     50540 25.09.2000          .          0          0    -                   
     50540 26.09.2000          .          0          0    -                   
     50540 27.09.2000          .          0          0    -                   
     50540 28.09.2000        1.1          0          0    3                     
     50540 29.09.2000       19.8          0          0    3                      
     50540 30.09.2000       31.7          0          0    3                      
     50540 01.10.2000          .          0          0    -                   
     50540 02.10.2000          .          0          0    -                   
     50540 03.10.2000        3.7          0          0    3                     
     50540 04.10.2000        0.1          0          0    3                     
     50540 05.10.2000        5.7          0          0    3                     
     50540 06.10.2000       10.8          0          0    3                      
     50540 07.10.2000        0.3          0          0    3                     
     50540 08.10.2000        0.2          0          0    3                     
     50540 09.10.2000       16.4          0          0    3                      
     50540 10.10.2000        7.3          0          0    3                     
     50540 11.10.2000        0.0          0          0    3                     
     50540 12.10.2000        0.0          0          0    3                     
     50540 13.10.2000        0.6          0          0    3                     
     50540 14.10.2000        1.3          0          0    3                     
     50540 15.10.2000       14.8          0          0    3                      
     50540 16.10.2000        0.4          0          0    3                     
     50540 17.10.2000        2.0          0          0    3                     
     50540 18.10.2000        6.2          0          0    3                     
     50540 19.10.2000        4.5          0          0    3                     
     50540 20.10.2000       21.7          0          0    3                      
     50540 21.10.2000        0.3          0          0    3                     
     50540 22.10.2000       18.5          0          0    3                      
     50540 23.10.2000        0.2          0          0    3                     
     50540 24.10.2000       39.9          0          0    3                      
     50540 25.10.2000       21.2          0          0    3                      
     50540 26.10.2000        5.4          0          0    3                     
     50540 27.10.2000        2.5          0          0    3                     
     50540 28.10.2000        4.5          0          0    3                     
     50540 29.10.2000        4.4          0          0    3                     
     50540 30.10.2000       14.9          0          0    3                      
     50540 31.10.2000       14.3          0          0    3                      
     50540 01.11.2000       20.4          0          0    3                      
     50540 02.11.2000       19.4          0          0    3                      
     50540 03.11.2000        4.7          0          0    3                     
     50540 04.11.2000        5.6          0          0    3                     
     50540 05.11.2000        9.9          0          0    3                     
     50540 06.11.2000        0.4          0          0    3                     
     50540 07.11.2000          .          0          0    -                   
     50540 08.11.2000        0.1          0          0    3                     
     50540 09.11.2000        0.0          0          0    3                     
     50540 10.11.2000        2.2          0          0    3                     
     50540 11.11.2000          .          0          0    -                   
     50540 12.11.2000        5.5          0          0    3                     
     50540 13.11.2000       21.6          0          0    3                      
     50540 14.11.2000        1.5          0          0    3                     
     50540 15.11.2000          .          0          0    -                   
     50540 16.11.2000          .          0          0    -                   
     50540 17.11.2000        0.2          0          0    3                     
     50540 18.11.2000        3.5          0          0    3                     
     50540 19.11.2000        6.5          0          0    3                     
     50540 20.11.2000        3.5          0          0    3                     
     50540 21.11.2000        2.0          0          0    3                     
     50540 22.11.2000        0.1          0          0    3                     
     50540 23.11.2000        1.3          0          0    3                     
     50540 24.11.2000        3.1          0          0    3                     
     50540 25.11.2000       12.5          0          0    3                      
     50540 26.11.2000        3.2          0          0    3                     
     50540 27.11.2000        1.0          0          0    3                     
     50540 28.11.2000       14.3          0          0    3                      
     50540 29.11.2000        3.3          0          0    3                     
     50540 30.11.2000        8.8          0          0    3                     
     50540 01.12.2000        9.4          0          0    3                     
     50540 02.12.2000        3.1          0          0    3                     
     50540 03.12.2000        4.7          0          0    3                     
     50540 04.12.2000        9.7          0          0    3                     
     50540 05.12.2000        7.6          0          0    3                     
     50540 06.12.2000       20.9          0          0    3                      
     50540 07.12.2000        3.9          0          0    3                     
     50540 08.12.2000          .          0          0    -                   
     50540 09.12.2000        2.5          0          0    3                     
     50540 10.12.2000       18.9          0          0    3                      
     50540 11.12.2000        9.8          0          0    3                     
     50540 12.12.2000       19.5          0          0    3                      
     50540 13.12.2000        9.7          0          0    3                     
     50540 14.12.2000       28.6          0          0    3                      
     50540 15.12.2000        3.6          0          0    3                     
     50540 16.12.2000        0.1          0          0    3                     
     50540 17.12.2000          .          0          0    -                   
     50540 18.12.2000          .          0          0    -                   
     50540 19.12.2000        0.2          0          0   31                      
     50540 20.12.2000          .          0          0    -                   
     50540 21.12.2000          .          0          0    -                   
     50540 22.12.2000          .          0          0    -                   
     50540 23.12.2000        0.0          0          0   30                      
     50540 24.12.2000        0.4          0          0   30                      
     50540 25.12.2000          .          0          0    -                   
     50540 26.12.2000        2.4          5          4    2                     
     50540 27.12.2000        9.1         14          4    2                      
     50540 28.12.2000        0.2         13          4    2                      
     50540 29.12.2000        0.1         10          4   31                       
     50540 30.12.2000        0.0          8          4    2                     
     50540 31.12.2000          .          8          4    -                   
     50540 01.01.2001        0.2          5          4   30                      
     50540 02.01.2001        0.6          3          3   30                      
     50540 03.01.2001        0.4          0          1    3                     
     50540 04.01.2001        9.5          0          0    3                     
     50540 05.01.2001        0.3          0          0    3                     
     50540 06.01.2001        0.0          0          0    3                     
     50540 07.01.2001        1.5          0          0    3                     
     50540 08.01.2001       10.9          0          0    3                      
     50540 09.01.2001        0.3          0          0    3                     
     50540 10.01.2001          .          0          0    -                   
     50540 11.01.2001        4.3          3          4   30                      
     50540 12.01.2001        0.3          0          1    3                     
     50540 13.01.2001          .          0          0    -                   
     50540 14.01.2001          .          0          0    -                   
     50540 15.01.2001          .          0          0    -                   
     50540 16.01.2001          .          0          0    -                   
     50540 17.01.2001          .          0          0    -                   
     50540 18.01.2001          .          0          0    -                   
     50540 19.01.2001          .          0          0    -                   
     50540 20.01.2001        0.1          0          0   31                      
     50540 21.01.2001          .          0          0    -                   
     50540 22.01.2001        0.0          0          0    2                     
     50540 23.01.2001          .          0          0    -                   
     50540 24.01.2001        0.0          0          0    3                     
     50540 25.01.2001       15.3          0          0    3                      
     50540 26.01.2001        7.4          0          0    3                     
     50540 27.01.2001        6.3          0          0    3                     
     50540 28.01.2001        4.2          0          0    3                     
     50540 29.01.2001       17.4          0          0   30                       
     50540 30.01.2001          .          0          0    -                   
     50540 31.01.2001          .          0          0    -                   
     50540 01.02.2001          .          0          0    -                   
     50540 02.02.2001          .          0          0    -                   
     50540 03.02.2001          .          0          0    -                   
     50540 04.02.2001          .          0          0    -                   
     50540 05.02.2001          .          0          0    -                   
     50540 06.02.2001          .          0          0    -                   
     50540 07.02.2001        7.0          2          4   30                      
     50540 08.02.2001       18.9          0          4   30                       
     50540 09.02.2001       10.3          7          4    2                      
