Flyplass,ICAO,IATA,airline,flight_id,dom_int,schedule_time,arr_dep,airport,via_airport,gate,code,time,uniqueID,delayed,check_in,delayed_minutes
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK274,D,2020-01-13T14:00:00Z,D,OSL,NA,B16,D,2020-01-13T14:00:00Z,8975247,1,NA,0
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK2873,S,2020-01-13T14:05:00Z,D,CPH,NA,E26,D,2020-01-13T14:05:00Z,9046429,1,NA,0
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY631,D,2020-01-13T14:20:00Z,D,OSL,NA,B19,D,2020-01-13T14:19:00Z,9046099,1,NA,-1
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF108,D,2020-01-13T14:25:00Z,D,FRO,NA,B15,D,2020-01-13T14:25:00Z,9046897,1,NA,0
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4146,D,2020-01-13T14:45:00Z,D,TRD,AES,B20,D,2020-01-13T14:36:00Z,9046578,1,NA,-9
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4169,D,2020-01-13T14:45:00Z,D,SVG,NA,D29,D,2020-01-13T14:37:00Z,9046598,1,NA,-8
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK278,D,2020-01-13T14:45:00Z,D,OSL,NA,B18,D,2020-01-13T14:45:00Z,9046410,1,NA,0
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY633,D,2020-01-13T15:00:00Z,D,OSL,NA,B19,D,2020-01-13T14:51:00Z,9046103,1,NA,-9
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF591,D,2020-01-13T15:05:00Z,D,KRS,NA,B17,D,2020-01-13T15:05:00Z,9047171,1,NA,0
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF516,D,2020-01-13T15:05:00Z,D,MOL,NA,B16,D,2020-01-13T14:58:00Z,9047117,1,NA,-7
